doc_content|doc_title|doc_url|doc_key|doc_date|doc_year|doc_lang|doc_tdmcat|doc_srccat
Colorectal cancer is the second leading cause of cancer related deaths in the United States, with more than 130,000 new cases of colorectal cancer diagnosed each year. Clinical studies have shown that genetic alterations lead to different responses to the same treatment, despite the morphologic similarities of tumors. A molecular test prior to treatment could help in determining an optimal treatment for a patient with regard to both toxicity and efficacy. This article introduces a statistical method appropriate for predicting and comparing multiple endpoints given different treatment options and molecular profiles of an individual. A latent variable-based multivariate regression model with structured variance covariance matrix is considered here. The latent variables account for the correlated nature of multiple endpoints and accommodate the fact that some clinical endpoints are categorical variables and others are censored variables. The mixture normal hierarchical structure admits a natural variable selection rule. Inference was conducted using the posterior distribution sampling Markov chain Monte Carlo method. We analyzed the finite-sample properties of the proposed method using simulation studies. The application to the advanced colorectal cancer study revealed associations between multiple endpoints and particular biomarkers, demonstrating the potential of individualizing treatment based on genetic profiles.|Bayesian Variable Selection with Joint Modeling of Categorical and Survival Outcomes: An Application to Individualizing Chemotherapy Treatment in Advanced Colorectal Cancer|http://www.jstor.org/stable/20640623|20640623|2009-12-01|2009|['eng']|['Applied sciences - Engineering']|['Science & Mathematics', 'Statistics']
This paper describes a general Bayesian iterative algorithm with entropy prior for image reconstruction. It solves the cases of both pure Poisson data and Poisson data with Gaussian readout noise. The algorithm maintains positivity of the solution; it includes case-specific prior information (default map) and flatfield corrections; it removes background and can be accelerated to be faster than the Richardson-Lucy algorithm. In order to determine the hyperparameter that balances the entropy and likelihood terms in the Bayesian approach, we have used a likelihood cross-validation technique. Cross-validation is more robust than other methods because it is less demanding in terms of the knowledge of exact data characteristics and of the point-spread function. We have used the algorithm to reconstruct successfully images obtained in different space-and ground-based imaging situations. It has been possible to recover most of the original intended capabilities of the Hubble Space Telescope wide field and planetary camera and faint object camera from images obtained in their present state. Semireal simulations for the future wide field planetary camera 2 show that even after the repair of the spherical aberration problem, image reconstruction can play a key role in improving the resolution of the cameras, well beyond the design of the Hubble instruments. We also show that ground-based images can be reconstructed successfully with the algorithm. A technique which consists of dividing the CCD observations into two frames, with one-half the exposure time each, emerges as a recommended procedure for the utilization of the described algorithms. We have compared our technique with two commonly used reconstruction algorithms: the Richardson-Lucy and the Cambridge maximum entropy algorithms.|A General Bayesian Image Reconstruction Algorithm with Entropy Prior. Preliminary Application to HST Data|http://www.jstor.org/stable/40680178|40680178|1993-10-01|1993|['eng']|['Physical sciences - Astronomy']|['Science & Mathematics', 'Astronomy']
A major practical impediment when implementing adaptive dose-finding designs is that the toxicity outcome used by the decision rules may not be observed shortly after the initiation of the treatment. To address this issue, we propose the data augmentation continual reassessment method (DA-CRM) for dose finding. By naturally treating the unobserved toxicities as missing data, we show that such missing data are nonignorable in the sense that the missingness depends on the unobserved outcomes. The Bayesian data augmentation approach is used to sample both the missing data and model parameters from their posterior full conditional distributions. We evaluate the performance of the DA-CRM through extensive simulation studies and also compare it with other existing methods. The results show that the proposed design satisfactorily resolves the issues related to late-onset toxicities and possesses desirable operating characteristics: treating patients more safely and also selecting the maximum tolerated dose with a higher probability. The new DA-CRM is illustrated with two phase I cancer clinical trials.|BAYESIAN DATA AUGMENTATION DOSE FINDING WITH CONTINUAL REASSESSMENT METHOD AND DELAYED TOXICITY|http://www.jstor.org/stable/23566457|23566457|2013-12-01|2013|['eng']|['Physical sciences - Astronomy', 'Health sciences - Health and wellness', 'Health sciences - Medical treatment']|['Mathematics', 'Science and Mathematics', 'Statistics']
Climate change will affect the insurance industry. We develop a Bayesian hierarchical statistical approach to explain and predict insurance losses due to weather events at a local geographic scale. The number of weather-related insurance claims is modelled by combining generalized linear models with spatially smoothed variable selection. Using Gibbs sampling and reversible jump Markov chain Monte Carlo methods, this model is fitted on daily weather and insurance data from each of the 319 municipalities which constitute southern and central Norway for the period 1997—2006. Precise out-of-sample predictions validate the model. Our results show interesting regional patterns in the effect of different weather covariates. In addition to being useful for insurance pricing, our model can be used for short-term predictions based on weather forecasts and for long-term predictions based on downscaled climate models.|A Bayesian hierarchical model with spatial variable selection: the effect of weather on insurance claims|http://www.jstor.org/stable/23360978|23360978|2013-01-01|2013|['eng']|['Physical sciences - Astronomy']|['Science and Mathematics', 'Statistics']
Although both clustering and identification of differentially expressed genes are equally essential in most microarray studies, the two tasks are often conducted without regard to each other. This is clearly not the most efficient way of extracting information. The main aim of this article is to develop a coherent statistical method that can simultaneously cluster and detect differentially expressed genes. Through information sharing between the two tasks, the proposed approach gives more sensible clustering among genes and is more sensitive in identifying differentially expressed genes. The improvement, over existing methods is illustrated in both our simulation results and a case study.|A Unified Approach for Simultaneous Gene Clustering and Differential Expression Identification|http://www.jstor.org/stable/4124530|4124530|2006-12-01|2006|['eng']|['Applied sciences - Engineering']|['Science & Mathematics', 'Statistics']
In this paper we introduce a Bayesian analysis for binary data in the presence of covariates and misclassifications. As a special situation in diagnostic medical testing, we obtain Bayesian inferences for the sensitivity and the specificity in the presence of covariates. We consider a situation where the individuals can be verified or unverified about their real disease status after a test. When part or even all individuals are not verified, usually we have great difficulties to get classical inference results for the parameters of interest. For this situation, the introduction of latent variables gives a good alternative to deal with missing data under the Bayesian approach, specially using Markov chain monte Carlo (MCMC) methods to obtain the posterior summaries of interest. We illustrate the proposed methodology on three real data sets.|Binary data in the presence of covariates and misclassifications: a Bayesian approach|http://www.jstor.org/stable/43601056|43601056|2005-06-01|2005|['eng']|['Applied sciences - Engineering', 'Health sciences - Health and wellness']|['Science & Mathematics', 'Mathematics', 'Statistics']
Growth curve data consist of repeated measurements of a continuous growth process over time in a population of individuals. These data are classically analyzed by nonlinear mixed models. However, the standard growth functions used in this context prescribe monotone increasing growth and can fail to model unexpected changes in growth rates. We propose to model these variations using stochastic differential equations (SDEs) that are deduced from the standard deterministic growth function by adding random variations to the growth dynamics. A Bayesian inference of the parameters of these SDE mixed models is developed. In the case when the SDE has an explicit solution, we describe an easily implemented Gibbs algorithm. When the conditional distribution of the diffusion process has no explicit form, we propose to approximate it using the Euler-Maruyama scheme. Finally, we suggest validating the SDE approach via criteria based on the predictive posterior distribution. We illustrate the efficiency of our method using the Gompertz function to model data on chicken growth, the modeling being improved by the SDE approach.|Bayesian Analysis of Growth Curves Using Mixed Models Defined by Stochastic Differential Equations|http://www.jstor.org/stable/40962444|40962444|2010-09-01|2010|['eng']|['Applied sciences - Engineering']|['Science & Mathematics', 'Statistics']
Despite its shortcomings, cross-level or ecological inference remains a necessary part of some areas of quantitative inference, including in United States voting rights litigation. Ecological inference suffers from a lack of identification that, most agree, is best addressed by incorporating individuallevel data into the model. In this paper we test the limits of such an incorporation by attempting it in the context of drawing inferences about racial voting patterns using a combination of an exit poll and precinct-level ecological data; accurate information about racial voting patterns is needed to assess triggers in voting rights laws that can determine the composition of United States legislative bodies. Specifically, we extend and study a hybrid model that addresses two-way tables of arbitrary dimension. We apply the hybrid model to an exit poll we administered in the City of Boston in 2008. Using the resulting data as well as simulation, we compare the performance of a pure ecological estimator, pure survey estimators using various sampling schemes and our hybrid. We conclude that the hybrid estimator offers substantial benefits by enabling substantive inferences about voting patterns not practicably available without its use.|EXIT POLLING AND RACIAL BLOC VOTING: COMBINING INDIVIDUAL-LEVEL AND R x C ECOLOGICAL DATA|http://www.jstor.org/stable/23362448|23362448|2010-12-01|2010|['eng']|['Applied sciences - Engineering']|['Mathematics', 'Science & Mathematics', 'Statistics']
Because of the decreasing cost and high digital resolution, next-generation sequencing (NGS) is expected to replace the traditional hybridization-based microarray technology. For genetics study, the first-step analysis of NGS data is often to identify genomic variants among sequenced samples. Several statistical models and tests have been developed for variant calling in NGS study. The existing approaches, however, are based on either conventional Bayesian or frequentist methods, which are unable to address the multiplicity and testing efficiency issues simultaneously. In this paper, we derive an optimal empirical Bayes testing procedure to detect variants for NGS study. We utilize the empirical Bayes technique to exploit the across-site information among many testing sites in NGS data. We prove that our testing procedure is valid and optimal in the sense of rejecting the maximum number of nonnulls while the Bayesian false discovery rate is controlled at a given nominal level. We show by both simulation studies and real data analysis that our testing efficiency can be greatly enhanced over the existing frequentist approaches that fail to pool and utilize information across the multiple testing sites.|AN EMPIRICAL BAYES TESTING PROCEDURE FOR DETECTING VARIANTS IN ANALYSIS OF NEXT GENERATION SEQUENCING DATA|http://www.jstor.org/stable/23566461|23566461|2013-12-01|2013|['eng']|['Applied sciences - Engineering']|['Mathematics', 'Science and Mathematics', 'Statistics']
"We propose new approaches for choosing the shrinkage parameter in ridge regression, a penalized likelihood method for regularizing linear regression coefficients, when the number of observations is small relative to the number of parameters. Existing methods may lead to extreme choices of this parameter, either shrinking the coefficients insufficiently or by too much. Within this ""small-n, large-p"" context, we suggest a correction to the common generalized cross-validation (GCV) method that preserves the asymptotic optimality of the original GCV. We also introduce the notion of a ""hyperpenalty"", which shrinks the shrinkage parameter itself, and make a specific recommendation regarding the choice of hyperpenalty that empirically works well in a broad range of scenarios. A simple algorithm jointly estimates the shrinkage parameter and regression coefficients in the hyperpenalized likelihood. In a comprehensive simulation study of small-sample scenarios and in the analysis of a gene-expression dataset, our proposed approaches offer superior prediction over nine other existing methods."|A SMALL-SAMPLE CHOICE OF THE TUNING PARAMETER IN RIDGE REGRESSION|http://www.jstor.org/stable/24721227|24721227|2015-07-01|2015|['eng']|['Mathematics - Applied mathematics']|['Mathematics', 'Science & Mathematics', 'Statistics']
Gaussian process models have been widely used in spatial statistics but face tremendous computational challenges for very large data sets. The model fitting and spatial prediction of such models typically require ○(n³) operations for a data set of size n. Various approximations of the covariance functions have been introduced to reduce the computational cost. However, most existing approximations cannot simultaneously capture both the large-and the small-scale spatial dependence. A new approximation scheme is developed to provide a high quality approximation to the covariance function at both the large and the small spatial scales. The new approximation is the summation of two parts: a reduced rank covariance and a compactly supported covariance obtained by tapering the covariance of the residual of the reduced rank approximation. Whereas the former part mainly captures the large-scale spatial variation, the latter part captures the small-scale, local variation that is unexplained by the former part. By combining the reduced rank representation and sparse matrix techniques, our approach allows for efficient computation for maximum likelihood estimation, spatial prediction and Bayesian inference. We illustrate the new approach with simulated and real data sets.|A full scale approximation of covariance functions for large spatial data sets|http://www.jstor.org/stable/41430931|41430931|2012-01-01|2012|['eng']|['Mathematics - Applied mathematics']|['Science and Mathematics', 'Statistics']
For multivariate failure time data, we propose a new class of shared gamma frailty models by imposing the Box-Cox transformation on the hazard function, and the product of the baseline hazard and the frailty. This novel class of models allows for a very broad range of shapes and relationships between the hazard and baseline hazard functions. It includes the well-known Cox gamma frailty model and a new additive gamma frailty model as two special cases. Due to the nonnegative hazard constraint, this shared gamma frailty model is computationally challenging in the Bayesian paradigm. The joint priors are constructed through a conditional-marginal specification, in which the conditional distribution is univariate, and it absorbs the nonlinear parameter constraints. The marginal part of the prior specification is free of constraints. The prior distributions allow us to easily compute the full conditionals needed for Gibbs sampling, while incorporating the constraints. This class of shared gamma frailty models is illustrated with a real dataset.|A Class of Bayesian Shared Gamma Frailty Models with Multivariate Failure Time Data|http://www.jstor.org/stable/3695664|3695664|2005-03-01|2005|['eng']|['Mathematics - Applied mathematics']|['Science & Mathematics', 'Statistics']
The stylized facts of macroeconomic time series can be presented by fitting structural time series models. Within this framework, we analyse the consequences of the widely used detrending technique popularised by Hodrick and Prescott (1980). It is shown that mechanical detrending based on the Hodrick-Prescott filter can lead investigators to report spurious cyclical behaviour, and this point is illustrated with empirical examples. Structural time-series models also allow investigators to deal explicitly with seasonal and irregular movements that may distort estimated cyclical components. Finally, the structural framework provides a basis for exposing the limitations of ARIMA methodology and models based on a deterministic trend with a single break.|Detrending, Stylized Facts and the Business Cycle|http://www.jstor.org/stable/2284917|2284917|1993-07-01|1993|['eng']|['Mathematics - Applied mathematics']|['Business & Economics', 'Business', 'Economics']
This study provides a Bayesian investigation of rank-ordered multinominal logit models employing conjugate priors for standard multinomial logit models as well as other priors. Also considered is a specification test of the independence of irrelevant alternatives assumption. The proposed techniques are demonstrated in an empirical investigation of Ontario voter preferences before the 1988 Canadian Federal Election.|Rank-Ordered Logit Models: An Empirical Analysis of Ontario Voter Preferences|http://www.jstor.org/stable/2285287|2285287|1994-10-01|1994|['eng']|['Mathematics - Mathematical logic']|['Business & Economics', 'Business', 'Economics']
Bayesian analysis of data from the general linear mixed model is challenging because any nontrivial prior leads to an intractable posterior density. However, if a conditionally conjugate prior density is adopted, then there is a simple Gibbs sampler that can be employed to explore the posterior density. A popular default among the conditionally conjugate priors is an improper prior that takes a product form with a flat prior on the regression parameter, and so-called power priors on each of the variance components. In this paper, a convergence rate analysis of the corresponding Gibbs sampler is undertaken. The main result is a simple, easily-checked sufficient condition for geometric ergodicity of the Gibbs-Markov chain. This result is close to the best possible result in the sense that the sufficient condition is only slightly stronger than what is required to ensure posterior propriety. The theory developed in this paper is extremely important from a practical standpoint because it guarantees the existence of central limit theorems that allow for the computation of valid asymptotic standard errors for the estimates computed using the Gibbs sampler.|CONVERGENCE ANALYSIS OF THE GIBBS SAMPLER FOR BAYESIAN GENERAL LINEAR MIXED MODELS WITH IMPROPER PRIORS|http://www.jstor.org/stable/41806558|41806558|2012-12-01|2012|['eng']|['Mathematics - Mathematical logic']|['Science & Mathematics', 'Statistics']
We study the consistency of a Bayesian variable selection procedure for generalized linear models. Specifically, we consider the consistency of a Bayes factor based on g-priors proposed by Sabanés Bové and Held [Bayesian Analysis 6 (2011) 387–410]. The integrals necessary for the computation of this Bayes factor are performed with Laplace approximation and Gaussian quadrature. We show that, under certain regularity conditions, the resulting Bayes factor is consistent. Furthermore, a simulation study confirms our theoretical results. Finally, we illustrate this model selection procedure with an application to a real ecological dataset.|Consistency of hyper-g-prior-based Bayesian variable selection for generalized linear models|http://www.jstor.org/stable/24913888|24913888|2016-11-01|2016|['eng']|['Mathematics - Mathematical logic', 'Mathematics - Applied mathematics']|['Science & Mathematics', 'Mathematics', 'Statistics']
In this paper we describe the use of modern numerical integration methods for making posterior inferences in composed error stochastic frontier models for panel data or individual cross-sections. Two Monte Carlo methods have been used in practical applications. We survey these two methods in some detail and argue that Gibbs sampling methods can greatly reduce the computational difficulties involved in analyzing such models.|Numerical Tools for the Bayesian Analysis of Stochastic Frontier Models|http://www.jstor.org/stable/41770863|41770863|1998-07-01|1998|['eng']|['Mathematics - Mathematical logic']|['Business', 'Business & Economics Collection']
